,0
0,31
1,25
2,23
3,31
4,19
5,22
6,31
7,21
8,32
9,28
10,28
11,33
12,21
13,21
14,19
15,25
16,24
17,32
18,30
19,35
20,26
21,29
22,30
23,25
24,28
25,30
26,30
27,28
28,29
29,29
30,26
31,27
32,23
33,24
34,33
35,24
36,24
37,27
38,29
39,23
40,28
41,31
42,29
43,21
44,27
45,33
46,25
47,24
48,20
49,29
50,27
51,30
52,25
53,22
54,30
55,25
56,31
57,23
58,24
59,23
60,26
61,28
62,45
63,31
64,27
65,18
66,27
67,23
68,26
69,20
70,25
71,24
72,29
73,24
74,33
75,25
76,25
77,28
78,31
79,27
80,33
81,33
82,28
83,18
84,30
85,20
86,30
87,32
88,27
89,21
90,27
91,21
92,35
93,21
94,20
95,30
96,27
97,20
98,27
99,32
100,25
