,0
0,24
1,33
2,19
3,42
4,17
5,34
6,16
7,21
8,24
9,38
10,27
11,25
12,46
13,23
14,56
15,80
16,19
17,47
18,21
19,31
20,30
21,28
22,28
23,30
24,35
25,22
26,30
27,29
28,43
29,20
30,47
31,22
32,28
33,26
34,19
35,37
36,33
37,25
38,33
39,46
40,16
41,22
42,24
43,11
44,31
45,17
46,40
47,29
48,25
49,17
50,42
51,28
52,29
53,29
54,26
55,14
56,32
57,61
58,43
59,18
60,23
61,45
62,42
63,30
64,20
65,40
66,42
67,24
68,13
69,15
70,37
71,22
72,40
73,45
74,26
75,19
76,27
77,13
78,27
79,28
80,39
81,44
82,21
83,24
84,21
85,21
86,23
87,16
88,49
89,38
90,40
91,28
92,21
93,24
94,25
95,44
96,45
97,32
98,36
99,39
100,27
