,0
0,14
1,20
2,20
3,14
4,15
5,14
6,18
7,18
8,19
9,14
10,18
11,24
12,12
13,12
14,17
15,15
16,16
17,14
18,16
19,14
20,23
21,20
22,54
23,14
24,16
25,18
26,16
27,23
28,18
29,14
30,16
31,15
32,18
33,17
34,17
35,16
36,14
37,20
38,15
39,17
40,20
41,21
42,11
43,18
44,15
45,22
46,19
47,15
48,17
49,15
50,12
51,13
52,15
53,20
54,14
55,23
56,21
57,16
58,48
59,15
60,16
61,17
62,14
63,15
64,43
65,21
66,19
67,16
68,46
69,14
70,14
71,18
72,15
73,20
74,11
75,19
76,13
77,15
78,16
79,15
80,20
81,23
82,18
83,15
84,20
85,15
86,11
87,25
88,13
89,15
90,65
91,59
92,12
93,13
94,14
95,11
96,19
97,16
98,15
99,17
100,23
101,14
102,12
103,17
104,16
105,21
106,17
107,38
108,21
109,16
110,16
111,17
112,15
113,14
114,21
115,21
116,16
117,15
118,15
119,14
120,26
121,16
122,14
123,16
124,16
125,17
126,20
127,15
128,14
129,17
130,13
131,23
132,17
133,18
134,12
135,20
136,19
137,20
138,14
139,17
140,16
141,17
142,21
143,18
144,12
145,21
146,16
147,16
148,17
149,12
150,13
151,13
152,22
153,135
154,22
155,19
156,18
157,41
158,13
159,15
160,15
161,14
162,20
163,18
164,15
165,15
166,14
167,16
168,17
169,27
170,14
171,16
172,15
173,15
174,13
175,12
176,19
177,13
178,16
179,21
180,15
181,22
182,21
183,19
184,17
185,44
186,11
187,20
188,18
189,15
190,16
191,14
192,18
193,21
194,17
195,36
196,15
197,18
198,19
199,19
200,20
