,0
0,9
1,7
2,12
3,9
4,12
5,12
6,8
7,11
8,7
9,11
10,9
11,10
12,11
13,12
14,7
15,10
16,9
17,13
18,13
19,14
20,13
21,14
22,9
23,11
24,15
25,14
26,12
27,9
28,12
29,13
30,17
31,9
32,7
33,7
34,12
35,13
36,11
37,24
38,10
39,8
40,8
41,9
42,8
43,14
44,9
45,8
46,10
47,13
48,9
49,8
50,11
51,11
52,12
53,8
54,10
55,9
56,9
57,12
58,12
59,11
60,8
61,8
62,6
63,12
64,8
65,10
66,11
67,10
68,6
69,8
70,12
71,13
72,11
73,13
74,10
75,10
76,8
77,11
78,12
79,9
80,12
81,10
82,8
83,8
84,5
85,12
86,17
87,13
88,8
89,11
90,8
91,8
92,7
93,7
94,8
95,8
96,16
97,8
98,11
99,8
100,13
101,11
102,6
103,11
104,14
105,8
106,18
107,10
108,15
109,10
110,11
111,12
112,14
113,8
114,11
115,25
116,7
117,12
118,9
119,9
120,10
121,12
122,6
123,11
124,13
125,8
126,10
127,22
128,12
129,9
130,7
131,8
132,9
133,9
134,13
135,13
136,9
137,7
138,9
139,10
140,11
141,9
142,14
143,17
144,7
145,7
146,10
147,8
148,9
149,9
150,9
151,14
152,10
153,8
154,10
155,11
156,7
157,9
158,10
159,12
160,12
161,12
162,9
163,10
164,11
165,9
166,11
167,12
168,17
169,12
170,11
171,12
172,12
173,6
174,10
175,6
176,11
177,8
178,8
179,8
180,12
181,10
182,10
183,13
184,11
185,10
186,9
187,9
188,10
189,10
190,8
191,10
192,7
193,10
194,10
195,8
196,13
197,11
198,10
199,11
200,8
