,0
0,5
1,5
2,5
3,4
4,3
5,3
6,6
7,5
8,4
9,4
10,6
11,5
12,4
13,6
14,4
15,3
16,5
17,6
18,5
19,5
20,3
21,5
22,7
23,6
24,4
25,5
26,5
27,4
28,4
29,4
30,5
31,4
32,4
33,4
34,5
35,7
36,4
37,5
38,4
39,4
40,5
41,3
42,6
43,4
44,5
45,6
46,4
47,4
48,5
49,6
50,4
51,3
52,4
53,5
54,4
55,4
56,4
57,3
58,5
59,6
60,8
61,4
62,8
63,7
64,4
65,5
66,7
67,7
68,4
69,7
70,6
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,5
79,6
80,5
81,5
82,4
83,6
84,5
85,6
86,4
87,4
88,6
89,5
90,3
91,4
92,6
93,6
94,7
95,4
96,3
97,8
98,6
99,6
100,5
101,5
102,5
103,4
104,6
105,5
106,3
107,4
108,4
109,4
110,4
111,5
112,4
113,5
114,4
115,4
116,4
117,3
118,4
119,5
120,4
121,4
122,6
123,3
124,5
125,6
126,4
127,4
128,4
129,5
130,4
131,4
132,7
133,5
134,4
135,5
136,4
137,5
138,5
139,5
140,8
141,5
142,5
143,5
144,5
145,6
146,5
147,5
148,6
149,3
150,7
151,4
152,4
153,5
154,5
155,5
156,4
157,5
158,6
159,5
160,4
161,5
162,4
163,4
164,5
165,4
166,4
167,5
168,5
169,5
170,4
171,4
172,5
173,6
174,4
175,6
176,7
177,3
178,5
179,5
180,5
181,5
182,5
183,4
184,4
185,4
186,4
187,6
188,4
189,6
190,5
191,5
192,4
193,5
194,5
195,5
196,4
197,4
198,7
199,4
200,6
