,0
0,10
1,11
2,11
3,7
4,8
5,8
6,9
7,12
8,8
9,10
10,7
11,9
12,11
13,8
14,7
15,9
16,10
17,13
18,8
19,12
20,9
21,13
22,14
23,10
24,13
25,12
26,10
27,6
28,10
29,7
30,11
31,7
32,17
33,10
34,14
35,7
36,13
37,10
38,6
39,8
40,14
41,7
42,8
43,8
44,12
45,12
46,14
47,5
48,8
49,10
50,8
51,11
52,7
53,10
54,6
55,9
56,9
57,12
58,15
59,13
60,11
61,9
62,8
63,8
64,10
65,8
66,10
67,8
68,8
69,11
70,8
71,8
72,6
73,17
74,7
75,11
76,14
77,12
78,11
79,8
80,8
81,17
82,8
83,9
84,8
85,12
86,13
87,10
88,8
89,12
90,12
91,15
92,10
93,16
94,9
95,8
96,8
97,13
98,10
99,13
100,12
